date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-05-08,sh.603786,50.9452224400,2,0.276800,1,-1.909100,0
2023-05-09,sh.603786,49.5967307600,2,0.253900,1,-2.646900,0
2023-05-10,sh.603786,54.0586517600,2,0.550100,1,8.996400,0
2023-05-11,sh.603786,54.3164516400,2,0.479700,1,0.476900,0
2023-05-12,sh.603786,54.3957746800,2,0.293700,1,0.146000,0
2023-05-15,sh.603786,54.0189902400,2,0.236100,1,-0.692700,0
2023-05-16,sh.603786,53.3645751600,2,0.133300,1,-1.211500,0
2023-05-17,sh.603786,53.8900903000,2,0.154500,1,0.984800,0
2023-05-18,sh.603786,53.1067752800,2,0.132800,1,-1.453500,0
2023-05-19,sh.603786,53.3447444000,2,0.117000,1,0.448100,0
2023-05-22,sh.603786,54.5345900000,2,0.156500,1,2.230500,0
2023-05-23,sh.603786,54.6734053200,2,0.188000,1,0.254500,0
2023-05-24,sh.603786,54.2172978400,2,0.148300,1,-0.834200,0
2023-05-25,sh.603786,54.2767901200,2,0.154700,1,0.109700,0
2023-05-26,sh.603786,54.2470439800,2,0.132800,1,-0.054800,0
2023-05-29,sh.603786,53.6818673200,2,0.118000,1,-1.041900,0
2023-05-30,sh.603786,54.0388210000,2,0.158600,1,0.664900,0
2023-05-31,sh.603786,52.9877907200,2,0.170900,1,-1.945000,0
2023-06-01,sh.603786,52.7002447000,2,0.203300,1,-0.542700,0
2023-06-02,sh.603786,53.4538135800,2,0.196400,1,1.429900,0
2023-06-05,sh.603786,53.0869445200,2,0.166100,1,-0.686300,0
2023-06-06,sh.603786,51.7087067000,2,0.166100,1,-2.596200,0
2023-06-07,sh.603786,51.3914145400,2,0.114800,1,-0.613600,0
2023-06-08,sh.603786,50.8262378800,2,0.183600,1,-1.099700,0
2023-06-09,sh.603786,53.4835597200,2,0.454900,1,5.228200,0
2023-06-12,sh.603786,57.0134350000,2,0.504400,1,6.599900,0
2023-06-13,sh.603786,58.6296419400,2,0.539200,1,2.834800,0
2023-06-14,sh.603786,58.5899804200,2,0.312600,1,-0.067600,0
2023-06-15,sh.603786,61.7200000000,2,0.579300,1,5.342200,0
2023-06-16,sh.603786,60.8800000000,2,0.351300,1,-1.361000,0
2023-06-19,sh.603786,60.6000000000,2,0.326100,1,-0.459900,0
2023-06-20,sh.603786,62.0500000000,2,0.384000,1,2.392700,0
2023-06-21,sh.603786,63.7900000000,2,0.494100,1,2.804200,0
2023-06-26,sh.603786,60.9900000000,2,0.513600,1,-4.389400,0
2023-06-27,sh.603786,61.2600000000,2,0.292000,1,0.442700,0
2023-06-28,sh.603786,61.4900000000,2,0.286500,1,0.375400,0
2023-06-29,sh.603786,64.1400000000,2,0.348100,1,4.309600,0
2023-06-30,sh.603786,65.7000000000,2,0.333900,1,2.432200,0
2023-07-03,sh.603786,63.1300000000,2,0.381300,1,-3.911700,0
2023-07-04,sh.603786,69.4400000000,2,0.785000,1,9.995200,0
2023-07-05,sh.603786,66.9000000000,2,1.018000,1,-3.657800,0
